iter	Passed	Remaining
878	1754	241
879	1756	239
880	1758	237
881	1760	235
882	1762	233
883	1763	231
884	1765	229
885	1766	227
886	1768	225
887	1770	223
888	1772	221
889	1774	219
890	1776	217
891	1778	215
892	1780	213
893	1782	211
894	1784	209
895	1785	207
896	1788	205
897	1789	203
898	1791	201
899	1793	199
900	1795	197
901	1797	195
902	1799	193
903	1801	191
904	1803	189
905	1805	187
906	1807	185
907	1809	183
908	1811	181
909	1813	179
910	1815	177
911	1818	175
912	1820	173
913	1822	171
914	1824	169
915	1826	167
916	1829	165
917	1831	163
918	1834	161
919	1836	159
920	1838	157
921	1840	155
922	1842	153
923	1844	151
924	1846	149
925	1848	147
926	1850	145
927	1852	143
928	1854	141
929	1857	139
930	1859	137
931	1861	135
932	1863	133
933	1865	131
934	1867	129
935	1869	127
936	1871	125
937	1873	123
938	1875	121
939	1877	119
940	1880	117
941	1882	115
942	1884	113
943	1885	111
944	1887	109
945	1889	107
946	1891	105
947	1893	103
948	1894	101
949	1896	99
950	1898	97
951	1900	95
952	1903	93
953	1905	91
954	1908	89
955	1910	87
956	1912	85
957	1914	83
958	1917	81
959	1918	79
960	1920	77
961	1923	75
962	1925	73
963	1927	71
964	1929	69
965	1931	67
966	1934	66
967	1938	64
968	1940	62
969	1943	60
970	1945	58
971	1948	56
972	1951	54
973	1954	52
974	1956	50
975	1958	48
976	1961	46
977	1963	44
978	1967	42
979	1969	40
980	1971	38
981	1973	36
982	1975	34
983	1977	32
984	1980	30
985	1982	28
986	1985	26
987	1987	24
988	1990	22
989	1992	20
990	1994	18
991	1997	16
992	1999	14
993	2002	12
994	2004	10
995	2006	8
996	2008	6
997	2011	4
998	2015	2
999	2017	0
